,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,min_price,max_price,var_price,var_price_3d,ma30,ma60,vma30,vma60,mid_price,open_dev_ma5,open_dev_ma10,close_dev_ma5,close_dev_ma10,diff,dea,macd,BOLL_low,BOLL_up,BOLL_relative,dividend_ind,rel_1y,rel_6m,rel_3m,rel_1m,rel_2w,rel_5d,ema5,ema10,ema20,ema30,ema60,ma_range,ema60_pos,v_diff0,v_diff1,v_diff2,v_diff3,v_diff4,v_diff5,RSI,rel_1m_v,rel_2w_v,rel_5d_v,rel_8w_var,rel_4w_var,rel_2w_var
153,2018-04-10 14:15:00,31.59,31.6,31.59,31.59,18.0,0.0,0.0,31.58,31.637,31.7375,71.2,68.01,55.25,0.0,31.59,31.59,0.09600000000000009,0.11666666666666714,31.802666666666656,31.822666666666667,57.96866666666665,119.40200000000002,31.59,0.10416666666668285,-0.4895833333333391,0.10416666666668285,-0.4895833333333391,-0.11987192910630995,-0.09259831090999168,-0.05454723639263653,31.460280739388615,32.014719260611386,-0.5320698124462965,-1.0,,,0.089552238805968,0.13043478260869365,0.26086956521738525,0.6666666666666535,31.597704158745927,31.638971142529144,31.70830282742557,31.748186201650366,31.788919727883595,-297.35383192571953,0.8397593797710982,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,4.216433354859873,0.08542713567839195,0.0,0.0,0.5254237288135601,0.6739130434782697,1.0
152,2018-04-10 14:20:00,31.59,31.8,31.8,31.59,25.0,0.21,0.66,31.616,31.641,31.728,50.6,61.11,56.45,0.0,31.59,31.8,0.09600000000000009,0.120000000000001,31.79399999999999,31.822666666666667,55.40199999999998,119.73533333333334,31.695,-0.27083333333333104,-0.5312499999999827,1.9166666666666758,1.6562500000000242,-0.12000821911305337,-0.09911035029039414,-0.041795737645318465,31.458590787702292,31.99740921229771,0.2672514402381899,-1.0,,,0.402985074626864,0.5869565217391329,1.0,1.0,31.665136105830616,31.668249117241842,31.717037198405023,31.751538501442564,31.789303430340706,-298.05586433872793,0.7527732493300218,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.12060301507537688,0.06363636363636363,0.109375,0.5423728813559356,0.9142857142857308,1.0
151,2018-04-10 14:25:00,31.8,31.8,31.66,31.66,14.0,-0.14,-0.44,31.642,31.637,31.721,37.0,49.91,54.9,0.0,31.66,31.8,0.0759999999999998,0.08999999999999986,31.781333333333325,31.819333333333336,54.10199999999998,119.08533333333335,31.73,2.0789473684210744,2.144736842105272,0.23684210526316749,0.3026315789473651,-0.12610497635072804,-0.10340565542068839,-0.0453986418600793,31.462449702086023,31.979550297913978,-0.23593088266444504,-1.0,,,0.1940298507462667,0.2826086956521734,0.48148148148147857,0.3913043478260856,31.663424070553745,31.66674927771704,31.71160434877416,31.745617136679115,31.784833973261204,-384.83916695507867,0.9635476906190121,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,3.4985880155898315,0.06532663316582915,0.0,0.0,0.39655172413793055,0.7187499999999927,0.7096774193548299
150,2018-04-10 14:30:00,31.66,31.79,31.67,31.66,34.0,0.01,0.03,31.662,31.64,31.709,30.6,47.7,54.15,0.0,31.66,31.67,0.053999999999999916,0.043333333333333,31.77233333333332,31.816333333333336,54.16866666666665,118.83533333333335,31.665,-0.037037037037016565,0.3703703703703631,0.14814814814819785,0.5555555555555775,-0.12386800003818621,-0.10875372887606859,-0.030228542324235247,31.461797715019685,31.956202284980314,-0.15776553199378235,-1.0,,,0.20895522388059734,0.3684210526315814,0.5185185185185215,0.3809523809523882,31.66561604703583,31.6673403181406,31.707641544454003,31.740726516022697,31.780871710299166,-554.619425457032,1.356114182317853,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.1658291457286432,0.17543859649122806,0.4166666666666667,0.1956521739130443,0.28124999999999617,0.25806451612902487
149,2018-04-10 14:35:00,31.67,31.79,31.79,31.67,3.0,0.12,0.38,31.702,31.651,31.7075,18.8,45.2,53.95,0.0,31.67,31.79,0.055999999999999515,0.07666666666666562,31.765666666666654,31.815500000000004,52.06866666666665,118.33533333333335,31.73,-0.5714285714285768,0.3392857142857512,1.5714285714285388,2.482142857142867,-0.1206945848648644,-0.11152492213741225,-0.0183393254549043,31.46718864104233,31.94781135895767,0.3433046209627235,-1.0,,,0.3880597014925334,0.684210526315786,0.9629629629629571,0.9523809523809451,31.70707736469055,31.68964207874029,31.715486076225414,31.74391282257299,31.781186135324607,-534.1052795564713,1.1732153410570234,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,0.010050251256281407,0.0,0.0,0.41304347826086707,0.5937499999999858,0.580645161290306
148,2018-04-10 14:40:00,31.79,31.79,31.79,31.67,25.0,0.0,0.0,31.742,31.661,31.707,20.2,45.7,54.45,0.0,31.79,31.79,0.03400000000000034,0.046666666666666856,31.760999999999985,31.815166666666673,51.26866666666665,117.68533333333335,31.79,1.4117647058822878,3.79411764705872,1.4117647058822878,3.79411764705872,-0.10883678466210966,-0.11290441057477006,0.008135251825320794,31.47405444087183,31.939945559128173,0.35630642760753317,-1.0,,,0.3880597014925334,0.7027027027027022,0.9629629629629571,0.9285714285714177,31.734718243127034,31.70788897368992,31.722583352013945,31.746892638408365,31.781489227345183,-900.8034805870548,1.732525745036392,1.0,-1.0,1.0,-1.0,1.0,-1.0,3.4985880155898315,0.12060301507537688,0.176,0.7096774193548387,0.21739130434783044,0.31250000000000067,0.2903225806451587
147,2018-04-10 14:45:00,31.79,31.79,31.68,31.67,56.0,-0.11,-0.35,31.718,31.667,31.701,26.4,38.5,57.2,0.01,31.68,31.79,0.07600000000000051,0.05333333333333338,31.753666666666653,31.81333333333334,51.83533333333332,117.48533333333334,31.735,0.9473684210526143,1.618421052631536,-0.5,0.17105263157892153,-0.10780493490719323,-0.115063446902298,0.014517023990209543,31.477945944455506,31.924054055544495,-0.09414758206811323,-1.0,,,0.2238805970149227,0.4054054054054044,0.5555555555555511,0.15384615384615175,31.71647882875136,31.702818251161023,31.718527426736387,31.742568228370086,31.778004785422755,-385.3643406245879,0.7825968248206372,1.0,1.0,-1.0,1.0,-1.0,1.0,3.028717280795078,0.26903553299492383,0.6708860759493671,1.0,0.26086956521739496,0.37499999999999856,0.3548387096774149
146,2018-04-10 14:50:00,31.68,31.79,31.65,31.65,90.0,-0.03,-0.09,31.716,31.679,31.6885,41.6,39.3,59.85,0.01,31.65,31.68,0.07400000000000091,0.020000000000000757,31.741999999999983,31.811666666666675,51.301999999999985,118.18533333333335,31.665,-0.48648648648649895,0.013513513513529862,-0.8918918918919146,-0.3918918918918859,-0.09645452630715212,-0.11725316042155191,0.04159726822879958,31.47235607291222,31.904643927087783,-0.17812205283180055,-1.0,,,0.179104477611936,0.3243243243243197,0.3478260869565137,0.0,31.69431921916757,31.693214932706407,31.71200046942528,31.736584751047314,31.77361676654819,-396.51307151326284,0.8326526638231001,1.0,1.0,1.0,-1.0,1.0,-1.0,2.9137813532490497,0.4416243654822335,1.0,1.0,0.04347826086957226,0.062500000000009,0.03225806451613384
145,2018-04-10 14:55:00,31.65,31.79,31.63,31.61,53.0,-0.02,-0.06,31.708,31.685,31.68,45.4,38.0,61.4,0.01,31.63,31.65,0.07000000000000099,0.08000000000000067,31.73499999999998,31.810500000000008,50.635333333333314,118.81866666666669,31.64,-0.8285714285714144,-0.49999999999999495,-1.11428571428569,-0.7857142857142705,-0.08742852522279776,-0.11550761854307975,0.05615818664056399,31.46855677955192,31.891443220448078,-0.23647010244189215,-1.0,,,0.14925373134328002,0.2702702702702664,0.19047619047618564,0.0,31.672879479445047,31.68172130851755,31.704190320921423,31.72969610923945,31.76870090766285,-420.7010059415457,0.9215798105918054,-1.0,1.0,1.0,1.0,-1.0,1.0,2.8365002488509248,0.25380710659898476,0.5747126436781609,0.5747126436781609,0.434782608695661,0.6250000000000014,0.5999999999999976
144,2018-04-10 15:00:00,31.63,31.75,31.64,31.63,52.0,0.01,0.03,31.678,31.69,31.673,55.2,37.0,61.6,0.01,31.63,31.64,0.07400000000000091,0.10666666666666795,31.728333333333314,31.80900000000001,49.83533333333332,119.4685,31.634999999999998,-0.6486486486486652,-0.8108108108108315,-0.5135135135135106,-0.675675675675677,-0.0577808873496366,-0.11095225563862367,0.10634273657797413,31.468195163046953,31.877804836953043,-0.16112900696560958,-1.0,,,0.16417910447761067,0.40740740740740594,0.23809523809524052,0.06250000000000971,31.661919652963366,31.67413561602719,31.69807654625026,31.72389965515916,31.764301947594944,-396.0994771464993,0.894937856009243,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,0.24873096446700507,0.5632183908045977,0.4153846153846154,0.6086956521739268,0.8709677419354876,0.8666666666666699
